🇬🇧 ENG.,🇳🇱 NDL.,🇩🇪 DEU.,🇳🇴 NOR.,🇪🇸 ESP.
--,--,--,--,--
a,een,ein,en,un
about,over,um,om,acerca de
afraid,bang,besorgt,redd,asustado
after,na,nach,etter,después
all,alle,alle,alle,todo
also,ook,auch,også,también
am,ben,bin,er,soy
an,een,ein,en,un
and,en,und,og,y
angry,boos,wütend,sint,Enojado
any,elk,beliebig,noen,cualquier
apple,appel,Apfel,eple,Manzana
April,april,April,april,abril
are,zijn,sind,er,son
arm,arm,Arm,arm,brazo
as,als,als,som,como
at,bij,bei,på,en
August,augustus,August,august,agosto
aunt,tante,Tante,tante,tía
autumn,herfst,Herbst,høst,otoño
back,rug,zurück,rygg,espalda
bag,tas,Tasche,veske,bolsa
ball,bal,Ball,ball,pelota
banana,banaan,Banane,banan,plátano
be,zijn,sein,være,ser
because,omdat,Weil,fordi,porque
been,geweest,gewesen,vært,estado
bird,vogel,Vogel,fugl,pájaro
black,zwart,schwarz,svart,negro
blue,blauw,Blau,blå,azul
body,lichaam,Aufbau,karosseri,cuerpo
book,boek,Buch,bok,libro
box,doos,Kastenwagen,boks,caja
bright,helder,hell,lys,brillante
brother,broer,Bruder,bror,hermano
brown,bruin,braun,brun,marrón
bus,bus,Bus,buss,autobús
business,bedrijf,Geschäftsreise,bedrift,negocio
but,maar,aber,men,pero
by,door,durch,ved,por
bye,Doei,Tschüss,ha det,Adiós
can,kunnen,kann,kan,poder
car,auto,Auto,bil,coche
cat,kat,Katze,katt,gato
chair,stoel,Stuhl,stol,silla
child,kind,Kind,barn,niño
circle,cirkel,Kreis,sirkel,círculo
clean,schoon,sauber,rengjøre,limpio
click,klik,Klick,klikk,clic
clock,klok,Uhr,klokke,reloj
cloud,wolk,Wolke,sky,nube
coin,munt,Münze,mynt,moneda
come,komen,Kommen,komme,Ven
compass,kompas,Kompass,kompass,Brújula
contact,contact,Kontakt,kontakt,Contacto
could,kon,könnte,kunne,podría
crying,huilen,Weinen,gråt,llanto
cyan,cyaan,Cyan,cyan,cian
dance,dans,Tanz,dans,baile
dark,donker,dunkel,mørk,oscuro
daughter,dochter,Tochter,datter,hija
day,dag,Tag,dag,día
December,december,Dezember,desember,diciembre
do,doen,Tun,gjøre,hacer
dog,hond,Hund,hund,perro
door,deur,Tür,dør,puerta
doorbell,deurbel,Türklingel,ringeklokke,timbre
dress,jurk,Kleid,kjole,vestido
Dutch,Nederlands,Niederländisch,Nederlandsk,Holandés
ear,oor,Ohr,øre,oreja
east,oost,osten,øst,este
eat,eten,essen,spise,comer
egg,ei,Ei,egg,huevo
eight,acht,acht,åtte,ocho
eighteen,achttien,achtzehn,atten,dieciocho
eleven,elf,elf,elleve,once
English,Engels,Englisch,Engelsk,Inglés
even,zelfs,sogar,til og med,incluso
eye,oog,Auge,øye,ojo
face,gezicht,Gesicht,ansikt,cara
fast,snel,schnell,raskt,rápido
father,vader,Vater,far,padre
February,februari,Februar,februar,febrero
fifteen,vijftien,fünfzehn,femten,quince
find,vinden,finden,finne,encontrar
fire,vuur,Feuer,ild,fuego
first,eerste,Erste,først,primero
five,vijf,fünf,fem,cinco
floor,vloer,Boden,gulv,piso
flower,bloem,Blume,blomst,flor
for,voor,für,for,para
four,vier,vier,fire,cuatro
fourteen,veertien,vierzehn,fjorten,catorce
free,gratis,frei,gratis,Rana
Friday,vrijdag,Freitag,fredag,viernes
friend,vriend,Freund,venn,amigo
frog,kikker,Frosch,frosk,gratis
from,uit,aus,fra,del
game,spel,Spiel,spillet,juego
German,Duits,Deutsch,Tysk,Alemán
get,krijgen,erhalten,bli,conseguir
girl,Meisje,Mädchen,jente,Chica
give,Geef,geben,gi,Dar
go,gaan,gehen,gå,ir
good,Goed,gut,godt,Bueno
goodbye,Tot ziens,Auf Wiedersehen,farvel,Hasta luego
grandfather,grootvader,Großvater,bestefar,abuelo
grandmother,grootmoeder,Großmutter,bestemor,abuela
grass,gras,Gras,gress,hierba
green,groen,Grün,grønn,verde
grey,grijs,Grau,grått,gris
had,had,hatte,hadde,tenía
half,half,Hälfte,halve,mitad
hand,hand,Hand,hånd,mano
hands,handen,Hände,hender,manos
happy,blij,glücklich,glad,Feliz
hard,hard,hart,hard,Difícil
has,heeft,hat,har,tiene
hat,hoed,Hut,hatten,sombrero
have,hebben,haben,har,tiene
he,hij,er,han,él
head,hoofd,Kopf,hodet,cabeza
hello,hallo,hallo,hallo,hola
help,hulp,helfen,hjelp,ayuda
her,haar,sie,henne,ella
here,hier,hier,her,aquí
hi,Hoi,Hallo,hei,Hola
him,hem,ihn,ham,él
his,zijn,sein,hans,suyo
home,thuis,Zuhause,hjem,Hogar
house,huis,Haus,hus,Casa
how,Hoe,Wie,hvordan,cómo
hug,knuffel,Umarmung,klem,abrazo
husband,echtgenoot,Ehemann,ektemann,marido
I,ik,ich,jeg,yo
ice,ijs,Eis,is,hielo
if,als,wenn,hvis,si
in,in,in,i,en
info,info,Info,info,info
information,informatie,Informationen,informasjon,información
inside,binnen,drinnen,inne,dentro
into,in,hinein,inn i,en
is,is,ist,er,es
it,het,es,det,eso
its,zijn,es,den,su
January,januari,Januar,januar,enero
job,baan,Arbeit,jobb,trabajo
July,juli,Juli,juli,julio
jump,springen,springen,hoppe,saltar
June,juni,Juni,juni,junio
just,gewoon,Nur,akkurat,justo
keep,houden,behalten,fortsette,guardar
kind,soort,Art,snill,tipo
know,weten,wissen,kjenn,saber
laugh,lachen,lachen,le,reír
leg,been,Bein,bein,pierna
legs,benen,Beine,bein,piernas
light,licht,Hell,lett,Ligero
like,leuk vinden,mögen,like,gustar
lime,limoen,Limette,kalk,Lima
look,kijken,schauen,se,mirar
love,houden van,lieben,elske,amar
magenta,magenta,magenta,magenta,magenta
make,maken,machen,lage,hacer
man,man,Mann,mann,hombre
many,veel,viele,mange,muchos
March,maart,März,mars,marzo
May,mei,Mai,mai,mayo
me,mij,Mich,meg,a mí
milk,melk,Milch,melk,leche
Monday,maandag,Montag,mandag,lunes
moon,maan,Mond,måne,luna
more,meer,mehr,mer,más
most,meest,am meisten,mest,la mayoría
mother,moeder,Mutter,mor,madre
mouth,mond,Mund,munn,boca
my,mijn,mein,mitt,mi
name,naam,Name,navn,nombre
naturally,natuurlijk,natürlich,naturligvis,naturalmente
need,nodig hebben,brauchen,trenge,necesitar
nephew,neefje,Neffe,nevø,sobrino
new,nieuw,neu,ny,nuevo
news,nieuws,Nachrichten,nyheter,noticias
niece,nicht,Nichte,niese,sobrina
night,nacht,Nacht,natt,noche
nine,negen,neun,ni,nueve
nineteen,negentien,neunzehn,nitten,diecinueve
no,nee,nein,ingen,no
north,noord,norden,nord,norte
Norwegian,Noors,Norwegisch,Norsk,Noruego
nose,neus,Nase,nese,nariz
not,niet,nicht,ikke,no
November,november,November,november,noviembre
now,nu,Jetzt,nå,ahora
o'clock,uur,Uhr,klokken,en punto
October,oktober,Oktober,oktober,octubre
of,van,von,av,de
on,op,An,på,en
one,één,eins,en,uno
online,online,online,på nett,en línea
only,alleen,nur,kun,solo
open,open,geöffnet,åpent,abierto
or,of,oder,eller,o
orange,oranje,Orange,oransje,naranja
other,ander,andere,annen,otro
our,ons,unser,vår,nuestro
out,uit,draußen,ute,fuera
outside,buiten,außerhalb,utenfor,afuera
over,over,über,over,encima
page,pagina,Seite,side,página
parent,ouder,Elternteil,forelder,padre
pen,pen,Stift,penn,bolígrafo
pencil,potlood,Bleistift,blyant,lápiz
people,mensen,Menschen,folk,personas
person,persoon,Person,person,persona
phone,telefoon,Telefon,telefon,teléfono
photo,foto,Foto,bilde,foto
pig,varken,Schwein,gris,cerdo
pink,roze,Rosa,rosa,rosa
project,project,Projekt,prosjekt,proyecto
purple,paars,Lila,lilla,morado
queen,koningin,Königin,dronning,reina
quiet,rustig,ruhig,stille,tranquilo
red,rood,Rot,rød,rojo
ring,ring,Ring,ringe,anillo
river,rivier,Fluss,elv,río
road,weg,Straße,vei,camino
run,rennen,laufen,kjør,Ejecutar
sad,Verdrietig,traurig,trist,triste
Saturday,zaterdag,Samstag,lørdag,sábado
say,zeggen,sagen,si,Decir
school,school,Schule,skole,escuela
search,zoeken,suchen,søk,Buscar
see,zien,siehe,se,ver
September,september,September,september,septiembre
service,dienst,Service,tjeneste,servicio
services,diensten,Dienstleistungen,tjenester,servicios
seven,zeven,sieben,sju,siete
seventeen,zeventien,siebzehn,sytten,diecisiete
she,zij,sie,hun,ella
shelf,plank,Regal,hylle,estante
shirt,overhemd,Hemd,skjorte,camisa
silver,zilver,Silber,sølv,plata
sister,zus,Schwester,søster,hermana
sit,zitten,sitzen,sitte,sentarse
site,site,Ort,sted,sitio
six,zes,sechs,seks,seis
sixteen,zestien,sechzehn,seksten,dieciséis
sixty,zestig,sechzig,seksti,sesenta
sky,lucht,Himmel,himmel,Cielo
sleeping,slapend,schlafend,sovende,durmiendo
snow,sneeuw,Schnee,snø,nieve
so,dus,also,så,así que
some,sommige,einige,noen,algunos
sometimes,soms,manchmal,av og til,a veces
son,zoon,Sohn,sønn,hijo
sorry,sorry,Entschuldigung,beklager,Lo siento
soup,soep,Suppe,suppe,sopa
south,zuid,süden,syd,sur
Spanish,Spaans,Spanisch,Spansk,Español
spring,lente,Frühling,vår,primavera
square,vierkant,quadratisch,firkantet,cuadrado
strong,sterk,stark,sterk,fuerte
summer,zomer,Sommer,sommer,verano
sun,zon,Sonne,sol,sol
Sunday,zondag,Sonntag,søndag,domingo
take,nemen,nehmen,ta,tomar
talk,praten,sprechen,snakke,hablar
teacher,leraar,Lehrer,lærer,maestro
tell,vertellen,erzählen,fortelle,decir
ten,tien,zehn,ti,diez
than,dan,als,enn,que
thanks,Bedankt,Danke,takk,gracias
that,dat,dass,at,eso
the,de,die,den,el
their,hun,ihre,deres,su
them,hen,ihnen,dem,ellos
then,dan,dann,så,entonces
there,daar,dort,der,allí
these,deze,diese,disse,estos
they,zij,sie,de,ellos
thing,ding,Sache,ting,cosa
think,denk,denke,tenk,piensa
thirteen,dertien,dreizehn,tretten,trece
this,dit,dies,dette,esto
those,die,jene,de,esos
three,drie,drei,tre,tres
Thursday,donderdag,Donnerstag,torsdag,jueves
time,tijd,Zeit,tid,tiempo
to,naar,Zu,til,a
toy,speelgoed,Spielzeug,leketøy,juguete
tree,boom,Baum,tre,árbol
Tuesday,dinsdag,Dienstag,tirsdag,martes
twelve,twaalf,zwölf,tolv,doce
twenty,twintig,zwanzig,tjue,veinte
twenty-one,eenentwintig,einundzwanzig,tjueen,veintiuno
twenty-three,drieëntwintig,dreiundzwanzig,tjuetre,veintitrés
twenty-two,tweeëntwintig,zweiundzwanzig,tjueto,veintidós
two,twee,zwei,to,dos
umbrella,paraplu,Regenschirm,paraply,paraguas
uncle,oom,Onkel,onkel,tío
under,onder,unter,under,bajo
up,omhoog,oben,opp,arriba
us,ons,uns,oss,nosotros
use,gebruiken,benutzen,bruk,uso
van,busje,Lieferwagen,varebil,furgoneta
very,heel,sehr,veldig,muy
view,uitzicht,Aussicht,utsikt,vista
visit,bezoek,Besuch,besøk,visita
wait,wachten,warten,vent,espera
wake,wakker worden,aufwachen,våkne,estela
wall,muur,Wand,vegg,pared
want,willen,wollen,ønske,querer
was,was,war,var,fue
watch,kijken,sehen,så,reloj
water,water,Wasser,vann,agua
way,manier,Weg,på,camino
we,wij,wir,vi,nosotros
web,web,Web,nett,web
Wednesday,woensdag,Mittwoch,onsdag,miércoles
well,nou,Nun,vel,bien
were,waren,waren,var,fueron
west,west,westen,vest,oeste
what,wat,Was,hva,qué
when,wanneer,Wann,når,cuándo
where,waar,Wo,hvor,dónde
which,welke,welche,som,cual
white,wit,weiß,hvit,blanco
who,wie,Wer,hvem,quién
whose,wiens,wessen,hvis,cuyo
why,waarom,warum,hvorfor,por qué
wife,vrouw,Ehefrau,kone,esposa
will,zullen,werden,vil,voluntad
wind,wind,Wind,vind,viento
window,raam,Fenster,vindu,ventana
winter,winter,Winter,vinter,invierno
with,met,mit,med,con
work,werk,Arbeit,arbeid,trabajo
world,wereld,Welt,verden,mundo
would,zou,würde,ville,sería
write,schrijven,schreiben,skrive,escribir
X-ray,röntgenfoto,Röntgenaufnahme,røntgen,rayos X
yard,tuin,Hof,hage,patio
year,jaar,Jahr,år,año
yellow,geel,Gelb,gul,amarillo
yes,ja,ja,ja,sí
you,jij,du,du,tú
your,jouw,dein,din,su
zero,nul,null,null,cero
zoo,dierentuin,Zoo,dyrehage,zoo
